"your_campus","your_acade","your_grade","club_stud_org","class_commi","soci_acti","dali_live","local","Social Radius"
"WuShan","R46","senior",1,0,1,1,1,1.96148934079969
"WuShan","R47","senior",1,1,1,1,1,2.45652814618332
"WuShan","R48","junior",1,1,1,1,1,2.22909912565085
"WuShan","R49","senior",1,1,1,1,0,1.96148934079969
"WuShan","R50","senior",1,1,1,0,1,1.96148934079969
"WuShan","R51","graduate",1,1,1,1,0,2.48953728264073
"WuShan","R52","junior",1,0,0,0,0,2.46812064053443
"WuShan","R53","senior",1,1,1,1,1,2.28313193830435
"WuShan","S1","graduate",1,1,1,1,0,1.96993810786914
"WuShan","S2","graduate",0,0,1,1,0,2.49120738775911
"WuShan","S3","graduate",0,1,0,1,1,2.11425483839277
"WuShan","S4","junior",1,1,1,1,0,1.96993810786914
